"Data Collection: ID","Data Collection: Data Collection Name","Evaluating Laboratory Name","LabNamePermission","Type of Facility","Country","Other Country","City","Sample Set","Sample Type","Other Sample Type","Sample Population","Other Sample Population","Source Population of Samples","Other Source Population","Reference Method","Other Reference Method","RT-PCR","Reference Test Name","Type of Index Test","Repeats","Other Repeats","Blinding","Other Blinding","Type of Antibody Test","Other Type of Antibody Test","Name of Antibody Test_1","Name of Antibody Test other","AB:Manufacturer_1","AB:Manufacturer other","AB:Catalog Number","AB:Lot Number","Target Marker","Antigen Used for Detection","AB:Sample Type","Other Sample Type AB","AB:Use Case","Other Use Case","AB:Days of Sickness","AB:Total Positive","AB:Total Negative","AB:True Positive","AB:True Negative","AB:Sensitivity","AB:Specificity","AB:Total Positive_early","AB:Total Negative_early","AB:True Positive_early","AB:True Negative_early","AB:Sensitivity_early","AB:Specificity_early","AB:Total Positive_middle","AB:Total Negative_middle","AB:True Positive_middle","AB:True Negative_middle","AB:Sensitivity_middle","AB:Specificity_middle","AB:Total Positive_late","AB:Total Negative_late","AB:True Positive_late","AB:True Negative_late","AB:Sensitivity_late","AB:Specificity_late","AB:Estimated LoD","AB:LoD Unit","Other AB:LoD Unit","AB:Higher_Cut-off","AB:Lower Cut-off","Type of Antigen Test","Other Type of Antigen Test","Name of Antigen Test_1","Name of Antigen Test other","AT:Manufacturer_1","AT:Manufacturer other","AT:Catalog Number","AT:Lot Number","Target Antigen","AT:Sample Type","Other Sample Type AT","AT:Days of Sickness","AT:Total Positive","AT:Total Negative","AT:True Positive","AT:True Negative","AT:Sensitivity","AT:Specificity","AT:Total Positive_early","AT:Total Negative_early","AT:True Negative_early","AT:True Positive_early","AT:Sensitivity_early","AT:Specificity_early","AT:Total Positive_middle","AT:Total Negative_middle","AT:True Positive_middle","AT:True Negative_middle","AT:Sensitivity_middle","AT:Specificity_middle","AT:Total Positive_late","AT:Total Negative_late","AT:True Positive_late","AT:True Negative_late","AT:Sensitivity_late","AT:Specificity_late","AT:Estimated LoD","AT:LoD Unit","Other AT:LoD Unit","AT:Higher Cut-off","AT:Lower Cut-off","Type of Molecular Test","Other Type of Moleculer Test","Name of Molecular Test_2","Name of Molecular Test other","MT:Manufacturer_1","MT:Manufacturer other","MT:Catalog Number","MT:Lot Number","Template Type","RNA Extraction Kit Used","MT:Sample Type","Other Sample Type MT","MT:Days of Sickness","MT:Total Positive","MT:Total Negative","MT:True Positive","MT:True Negative","MT:Sensitivity","MT:Specificity","MT:Total Positive_early","MT:Total Negative_early","MT:True Positive_early","MT:True Negative_early","MT:Sensitivity_early","MT:Specificity_early","MT:Total Positive_middle","MT:Total Negative_middle","MT:True Positive_middle","MT:True Negative_middle","MT:Sensitivity_middle","MT:Specificity_middle","MT:Total Positive_late","MT:Total Negative_late","MT:True Positive_late","MT:True Negative_late","MT:Sensitivity_late","MT:Specificity_late","MT:Estimated LoD","MT:LoD Unit","Other MT:LoD Unit","Ct Value","Results Published","Link to Publication","DOI","Comments"
"a1L1r0000090iDO","a1L1r0000090huT","Department of Laboratory Medicine, General Hospital of Southern Theatre Command of PLA","Yes","Hospital","China","","Guangzhou","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Other","Chemiluminescence immunoassay (CLIA)","2019-nCoV IgG/IgM Antibody Detection Kit","","Other","Shenzhen Tisenc Medical Devices Company","","","IgG","Spike protein","Serum","","Not available","","Not available","12","392","10","389","83.3","99.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.05.05.20092551v1.full.pdf","10.1101/2020.05.05.20092551.t","Analysis on an ACCRE 6 system"
"a1L1r0000090iEM","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Other","2019-n-CoV IgG/IgM rapid test cassette (LaboOn Time)","Other","Bio Marketing Diagnostics (or Akiva)","","","IgM","","Serum","","Detection of current infection","","Total","128","72","62","72","48.4","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls"
"a1L1r0000090iER","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Other","2019-n-CoV IgG/IgM rapid test cassette (LaboOn Time)","Other","Bio Marketing Diagnostics (or Akiva)","","","IgG","","Serum","","Detection of current infection","","Total","128","72","86","72","67.2","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls"
"a1L1r0000090iED","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Novel Coronavirus (2019-nCov)Antibody IgG/IgM Assay Kit (Colloidal Gold)","","Avioq Bio-Tech Co., Ltd","","","","IgG; IgM","","Serum","","Detection of current infection","","Total","128","72","88","69","68.8","95.8","29","","8","","27.6","","62","","46","","74.2","","33","","31","","93.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls"
"a1L1r0000090iEg","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","QuickZen COVID-19 IgM / IgG","","Zentech SA","","","","IgG; IgM","","Serum","","Detection of current infection","","Total","128","72","91","72","71.1","100.0","29","","10","","34.5","","62","","48","","77.4","","33","","30","","90.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls"
"a1L1r0000090iE7","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Other","Chemiluminescence immunoassay (CLIA)","MAGLUMI 2019-nCoV IgG (CLIA)","","Snibe Co., Ltd (Shenzhen New Industries Biomedical Engineering Co., Ltd)","","","","IgG","","Serum","","Detection of current infection","","Total","126","72","67","72","53.2","100.0","28","","2","","7.1","","62","","34","","54.8","","32","","28","","87.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls

Cut-off value: 1.0 AU/mL"
"a1L1r0000090iDn","a1L1r0000090iAy","Laboratoire Hospitalier Universitaire de Bruxelles - Universitair Laboratorium Brussel (LHUB-ULB); Microbiology Department of Cliniques Universitaires Saint Luc-UCLouvain (CUSL)","Yes","Hospital","Belgium","","Brussels","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","Computed Tomography (CT); RT-PCR","","Commercal kit","RealStar® SARS-CoV-2 RT-PCR kit 1.0 (Altona Diagnostics, Hamburg, Germany); Genesig® Real-Time PCR Coronavirus (COVID-19) (Primerdesign Ltd, Chandlers Ford, UK)","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","Anti-SARS-CoV-2 ELISA (IgG) (manual, automated)","","EUROIMMUN AG","","","","IgG","","Serum","","Detection of current infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","128","72","79","71","61.7","98.6","29","","5","","17.2","","62","","41","","66.1","","33","","30","","90.9","","","","","Ratio  ≥ 1.1","Ratio < 0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198434/pdf/main.pdf","10.1016/j.jcv.2020.104413","Control: Pre-pandemic controls"
"a1L1r0000090iFU","a1L1r0000090iFP","Centre Intégré Universitaire de Santé et Services Sociaux de la Mauricie et Centre du
Québec","Yes","Public Health","Canada","","Trois-Rivieres","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","Not available","","Not available","","","","Molecular test","Not available","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","Allplex 2019-nCoV assay","","Seegene, Inc.","","","","Frozen RNA","","Nasopharyngeal swabs; Oropharyngeal swabs","","Not available","65","23","64","23","","","","","","","","","","","","","","","","","","","","","","","","40.0","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7204723/","10.1016/j.jcv.2020.104423",""
"a1L1r0000090iFy","a1L1r0000090iFy","University Hospital RWTH","Yes","Hospital","Germany","","Aachen","Prospectively collected set","Other","Not available","Symptomatic patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","Anti-SARS-CoV-2 ELISA (IgG) (manual, automated)","","EUROIMMUN AG","","","","IgG","","Serum","","Detection of current infection","","Total; Intermediate (~8-14)","","53","","51","","96.2","","","","","","","22","","19","","86.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189838/","10.1016/j.jcv.2020.104394",""
"a1L1r0000090iGN","a1L1r0000090iGN","University of Helsinki and Helsinki University Hospital, Helsinki, Finland","Yes","Not available","Finland","","Helsinki","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","RT-PCR","","Berlin method (Corman et al. 2020)","","Antibody test","Not available","","Blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","Anti-SARS-CoV-2 ELISA (IgG) (manual, automated)","","EUROIMMUN AG","","","","IgG","Spike protein S1 domain","Serum","","Detection of current infection","","Total","39","37","13","34","","91.9","","","","","","","","","","","","","","","","","","","","","","Ratio ≥ 1.1","Ratio <0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.18.2000603","10.2807/1560-7917.ES.2020.25.18.2000603","Control: Pre-pandemic controls"
"a1L1r0000090iFP","a1L1r0000090iFP","Centre Intégré Universitaire de Santé et Services Sociaux de la Mauricie et Centre du Québec","Yes","Public Health","Canada","","Trois-Rivieres","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","","","Not available","","","","Molecular test","No replicates","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manual PCR","","RealStar® SARS-CoV-2 RT-PCR Kit","","altona Diagnostics","","","","Frozen RNA","Abbott mSample Preparation Systems DNA kit on m2000sp instrument (Abbott)","Nasopharyngeal swabs; Oropharyngeal swabs","","Not available","65","23","65","23","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7204723/","10.1016/j.jcv.2020.104423",""
"a1L1r0000090kWq","a1L1r0000090jNY","Clinical department of Laboratory Medicine, University Hospitals Leuven","Yes","Hospital","Belgium","","Leuven","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","WHO method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","Other","StrongStep SARS-CoV-2 IgM/IgG Antibody Rapid Test","Liming Bio-Products Co., Ltd","","","2003020","IgG","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","153","103","","","64.7","99.0","37","","","","32.4","","78","","","","64.1","","38","","","","97.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S1198743X20303001","10.1016/j.cmi.2020.05.023","Controls: Pre-pandemic controls

Median time between onset of symptoms and admission to the hospital: 7 days"
"a1L1r0000090kYc","a1L1r0000090k78","Department of Pathology and Laboratory Medicine, Warren Alpert Medical School of Brown University","Yes","Hospital","United States of America (USA)","","Providence, Rhode Island","Not available","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","STANDARD Q COVID-19 IgM/IgG Duo Test","","SD BIOSENSOR, Inc.","","","","IgM","","Plasma; Serum","","Detection of past infection","","Total; Late (>14)","","1063","","1051","","98.9","","","","","","","","","","","","","28","","","","85.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.biorxiv.org/content/10.1101/2020.05.29.124776v1.full.pdf","10.1101/2020.05.29.124776","Analysis on an Abbott Architect i1000 analyzer"
"a1L1r0000090gXA","a1L1r0000090g6f","The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Yes","Hospital","China","","Hangshou","Prospectively collected set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not blinded to reference results","","Enzyme-linked immunosorbent assay (ELISA)","","Other","Wantai SARS-CoV-2 IgG ELISA","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","","","","IgG","","Plasma","","Not available","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","80","100","71","100","88.8","100.0","39","","13","","33.3","","75","","57","","76.0","","60","","56","","93.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707",""
"a1L1r0000090gXt","a1L1r000007p4Cq","Department of Laboratory Medicine, Shengjing Hospital of China Medical University","Yes","Hospital","China","","Shenyang","Prospectively collected set","Nasopharyngeal swabs","","Symptomatic patients","","Moderate; Severe","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not available","","Other","Chemiluminescence immunoassay (CLIA)","Other","SARS-CoV-2 IgM/IgG CLIA kits","Shenzhen Yhlo Biotech Co. Ltd","","","","IgG","Nucleocapsid protein; Spike protein","Serum","","Detection of current infection","","Total","3","733","3","726","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.04.20030916v2.full.pdf","10.1101/2020.03.04.20030916",""
"a1L1r0000090gWC","a1L1r000007p3nq","Tongji Medical College, Huazhong University of Science and Technology","Yes","Hospital","China","","Wuhan","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","","","RT-PCR","","Validated in-house method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019-nCoV IgG/IgM Antibody Detection Kit","","Zhuhai Livzon Diagnostics Inc","","","20200308","IgM","","Serum","","Detection of current infection","","Not available","24","60","21","60","87.5","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Diagnostic value of serological IgM and IgG antibodies for suspected COVID-19 pneumonia patients was evaluated in 24 patients with negative nucleic acid tests."
"a1L1r0000090gW7","a1L1r000007p3nq","Tongji Medical College, Huazhong University of Science and Technology","Yes","Hospital","China","","Wuhan","Prospectively collected set","Nasopharyngeal swabs; Oropharyngeal swabs","","Symptomatic patients","","","","RT-PCR","","Validated in-house method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019-nCoV IgG/IgM Antibody Detection Kit","","Zhuhai Livzon Diagnostics Inc","","","20200308","IgG","","Serum","","Detection of current infection","","Not available","24","60","17","57","70.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188146/pdf/ciaa461.pdf","10.1093/cid/ciaa461","Diagnostic value of serological IgM and IgG antibodies for suspected COVID-19 pneumonia patients was evaluated in 24 patients with negative nucleic acid tests."
"a1L1r0000090kVd","a1L1r0000090jNY","Clinical department of Laboratory Medicine, University Hospitals Leuven","Yes","Hospital","Belgium","","Leuven","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","WHO method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Rapid Test","","Zhejiang Orient Gene Biotech","","","2003318","IgM","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","153","103","","","72.5","95.1","37","","","","40.5","","78","","","","75.6","","38","","","","97.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S1198743X20303001","10.1016/j.cmi.2020.05.023","Controls: Pre-pandemic controls

Median time between onset of symptoms and admission to the hospital: 7 days"
"a1L1r0000090gXU","a1L1r0000090g6f","The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Yes","Hospital","China","","Hangshou","Prospectively collected set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","Other","Wantai SARS-CoV-2 IgG Rapid Test","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","","","","IgG","","Plasma","","Not available","","Total","80","209","69","208","86.3","99.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707",""
"a1L1r0000090gX5","a1L1r000007p4Cv","Department of Infectious Diseases, Southwest Hospital, Third Military Medical University","Yes","Hospital","China","","Chongqing","Prospectively collected set","","Not available","Confirmed COVID-19 patients","","Mild; Moderate; Severe","","Other","WHO Interim Guidance","","","Antibody test","No replicates","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019-nCoV IgG/IgM Antibody Detection Kit","","Zhuhai Livzon Diagnostics Inc","","","","IgG","Nucleocapsid  protein","Serum","","Detection of current infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","65","","45","","69.2","","58","","2","","3.4","","61","","31","","50.8","","54","","32","","59.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.24.20042382v1.full.pdf","10.1101/2020.03.24.20042382","For late period, samples collected at 21 days after symptoms onset were considered."
"a1L1r0000090kWg","a1L1r0000090jNY","Clinical department of Laboratory Medicine, University Hospitals Leuven","Yes","Hospital","Belgium","","Leuven","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","WHO method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","Other","StrongStep SARS-CoV-2 IgM/IgG Antibody Rapid Test","Liming Bio-Products Co., Ltd","","","2003020","IgG; IgM","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","153","103","","","66.7","98.1","37","","","","35.1","","78","","","","66.7","","38","","","","97.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S1198743X20303001","10.1016/j.cmi.2020.05.023","Controls: Pre-pandemic controls

Median time between onset of symptoms and admission to the hospital: 7 days"
"a1L1r0000090kVY","a1L1r0000090jNY","Clinical department of Laboratory Medicine, University Hospitals Leuven","Yes","Hospital","Belgium","","Leuven","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","WHO method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Rapid Test","","Zhejiang Orient Gene Biotech","","","2003318","IgG; IgM","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","153","103","","","76.5","91.3","37","","","","46.0","","78","","","","80.8","","38","","","","97.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S1198743X20303001","10.1016/j.cmi.2020.05.023","Controls: Pre-pandemic controls

Median time between onset of symptoms and admission to the hospital: 7 days"
"a1L1r0000090kV9","a1L1r0000090jNY","Clinical department of Laboratory Medicine, University Hospitals Leuven","Yes","Hospital","Belgium","","Leuven","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","WHO method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","VivaDiag COVID-19 IgM/IgG Rapid Test","","VivaChek Biotech (Hangzhou) Co., Ltd","","","E2003031","IgM","","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","153","103","","","65.4","100.0","37","","","","35.1","","78","","","","64.1","","38","","","","97.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sciencedirect.com/science/article/pii/S1198743X20303001","10.1016/j.cmi.2020.05.023","Controls: Pre-pandemic controls

Median time between onset of symptoms and admission to the hospital: 7 days"
"a1L1r0000090gXP","a1L1r0000090g6f","The Key Laboratory of Clinical In Vitro Diagnostic Techniques of Zhejiang Province","Yes","Hospital","China","","Hangshou","Prospectively collected set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","No replicates","","Not blinded to reference results","","Rapid diagnostic test (RDT)","","Other","Wantai SARS-CoV-2 IgM Rapid Test","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","","","","IgM","","Plasma","","Not available","","Total","80","209","71","205","88.8","98.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.23.20041707v1.full.pdf","10.1101/2020.03.23.20041707",""
